(-99927, -25800, 75712)
(-99927, -25667, 75579)
(-99927, -25626, 75538)
(-99927, -25544, 75456)
(-99927, -25406, 75318)
(-99927, -25223, 75135)
(-99927, -25152, 75064)
(-99927, -25065, 74977)
(-99927, -25032, 74944)
(-99927, -25001, 74913)
(-99927, -24834, 74746)
(-99927, -24804, 74716)
(-99927, -24778, 74690)
(-99927, -24773, 74685)
(-99927, -24625, 74537)
(-99927, -24542, 74454)
(-99927, -24526, 74438)
(-99927, -24524, 74436)
(-99927, -24425, 74337)
(-99927, -24396, 74308)
(-99927, -24387, 74299)
(-99927, -24285, 74197)
(-99927, -24281, 74193)
(-99927, -24167, 74079)
(-99927, -24130, 74042)
(-99927, -24100, 74012)
(-99927, -24093, 74005)
(-99927, -23992, 73904)
(-99927, -23966, 73878)
(-99927, -23963, 73875)
(-99927, -23776, 73688)
(-99927, -23723, 73635)
(-99927, -23588, 73500)
(-99927, -23574, 73486)
(-99927, -23509, 73421)
(-99927, -23503, 73415)
(-99927, -23502, 73414)
(-99927, -23268, 73180)
(-99927, -23260, 73172)
(-99927, -23086, 72998)
(-99927, -23023, 72935)
(-99927, -22943, 72855)
(-99927, -22881, 72793)
(-99927, -22507, 72419)
(-99927, -22223, 72135)
(-99927, -22188, 72100)
(-99927, -22176, 72088)
(-99927, -21988, 71900)
(-99927, -21935, 71847)
(-99927, -21903, 71815)
(-99927, -21875, 71787)
(-99927, -21844, 71756)
(-99927, -21615, 71527)
(-99927, -21558, 71470)
(-99927, -21546, 71458)
(-99927, -21531, 71443)
(-99927, -21484, 71396)
(-99927, -21405, 71317)
(-99927, -21346, 71258)
(-99927, -21287, 71199)
(-99927, -21252, 71164)
(-99927, -21216, 71128)
(-99927, -21084, 70996)
(-99927, -21051, 70963)
(-99927, -21045, 70957)
(-99927, -20982, 70894)
(-99927, -20946, 70858)
(-99927, -20824, 70736)
(-99927, -20716, 70628)
(-99927, -20638, 70550)
(-99927, -20594, 70506)
(-99927, -20546, 70458)
(-99927, -20511, 70423)
(-99927, -20419, 70331)
(-99927, -20363, 70275)
(-99927, -20256, 70168)
(-99927, -20243, 70155)
(-99927, -20058, 69970)
(-99927, -20052, 69964)
(-99927, -19831, 69743)
(-99927, -19823, 69735)
(-99927, -19688, 69600)
(-99927, -19600, 69512)
(-99927, -19445, 69357)
(-99927, -19379, 69291)
(-99927, -19331, 69243)
(-99927, -19310, 69222)
(-99927, -19276, 69188)
(-99927, -19238, 69150)
(-99927, -19148, 69060)
(-99927, -19030, 68942)
(-99927, -19025, 68937)
(-99927, -18970, 68882)
(-99927, -18951, 68863)
(-99927, -18922, 68834)
(-99927, -18855, 68767)
(-99927, -18794, 68706)
(-99927, -18772, 68684)
(-99927, -18705, 68617)
(-99927, -18690, 68602)
(-99927, -18642, 68554)
(-99927, -18606, 68518)
(-99927, -18598, 68510)
(-99927, -18586, 68498)
(-99927, -18575, 68487)
(-99927, -18568, 68480)
(-99927, -18560, 68472)
(-99927, -18537, 68449)
(-99927, -18533, 68445)
(-99927, -18467, 68379)
(-99927, -18419, 68331)
(-99927, -18320, 68232)
(-99927, -18294, 68206)
(-99927, -18180, 68092)
(-99927, -18148, 68060)
(-99927, -18069, 67981)
(-99927, -17961, 67873)
(-99927, -17934, 67846)
(-99927, -17868, 67780)
(-99927, -17819, 67731)
(-99927, -17785, 67697)
(-99927, -17669, 67581)
(-99927, -17664, 67576)
(-99927, -17545, 67457)
(-99927, -17505, 67417)
(-99927, -17472, 67384)
(-99927, -17445, 67357)
(-99927, -17411, 67323)
(-99927, -17382, 67294)
(-99927, -17368, 67280)
(-99927, -17219, 67131)
(-99927, -17219, 67131)
(-99927, -17127, 67039)
(-99927, -17118, 67030)
(-99927, -17101, 67013)
(-99927, -17029, 66941)
(-99927, -16922, 66834)
(-99927, -16779, 66691)
(-99927, -16652, 66564)
(-99927, -16631, 66543)
(-99927, -16568, 66480)
(-99927, -16540, 66452)
(-99927, -16539, 66451)
